Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-15T00:00+02:00;2022-05-16T00:00+02:00;2022-05-15;1;18;100,0;24;24;0;18;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-15T00:00+02:00;2022-05-16T00:00+02:00;2022-05-15;2;22;100,0;24;24;0;22;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-15T00:00+02:00;2022-05-16T00:00+02:00;2022-05-15;Totalt i retning Muse`gata;22;100,0;24;24;0;22;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-15T00:00+02:00;2022-05-16T00:00+02:00;2022-05-15;Totalt i retning Nyløkken/Telegrafbukta;18;100,0;24;24;0;18;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-15T00:00+02:00;2022-05-16T00:00+02:00;2022-05-15;Totalt;40;100,0;24;24;0;40;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-16T00:00+02:00;2022-05-17T00:00+02:00;2022-05-16;1;40;100,0;24;24;0;40;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-16T00:00+02:00;2022-05-17T00:00+02:00;2022-05-16;2;65;100,0;24;24;0;65;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-16T00:00+02:00;2022-05-17T00:00+02:00;2022-05-16;Totalt i retning Muse`gata;65;100,0;24;24;0;65;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-16T00:00+02:00;2022-05-17T00:00+02:00;2022-05-16;Totalt i retning Nyløkken/Telegrafbukta;40;100,0;24;24;0;40;0,00;-;-;-;-;-;-;-;-
05899B1109722;Strandvegen Sykkel;KV40500 S1D1 m156;2022-05-16T00:00+02:00;2022-05-17T00:00+02:00;2022-05-16;Totalt;105;100,0;24;24;0;105;0,00;-;-;-;-;-;-;-;-
