Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-11T00:00+01:00;2022-01-12T00:00+01:00;2022-01-11;1;39;100,0;24;24;0;39;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-11T00:00+01:00;2022-01-12T00:00+01:00;2022-01-11;2;22;100,0;24;24;0;22;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-11T00:00+01:00;2022-01-12T00:00+01:00;2022-01-11;Totalt i retning Nova;22;100,0;24;24;0;22;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-11T00:00+01:00;2022-01-12T00:00+01:00;2022-01-11;Totalt i retning Pyramiden;39;100,0;24;24;0;39;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-11T00:00+01:00;2022-01-12T00:00+01:00;2022-01-11;Totalt;61;100,0;24;24;0;61;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-12T00:00+01:00;2022-01-13T00:00+01:00;2022-01-12;1;16;100,0;24;24;0;16;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-12T00:00+01:00;2022-01-13T00:00+01:00;2022-01-12;2;11;100,0;24;24;0;11;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-12T00:00+01:00;2022-01-13T00:00+01:00;2022-01-12;Totalt i retning Nova;11;100,0;24;24;0;11;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-12T00:00+01:00;2022-01-13T00:00+01:00;2022-01-12;Totalt i retning Pyramiden;16;100,0;24;24;0;16;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-12T00:00+01:00;2022-01-13T00:00+01:00;2022-01-12;Totalt;27;100,0;24;24;0;27;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-13T00:00+01:00;2022-01-14T00:00+01:00;2022-01-13;1;18;100,0;24;24;0;18;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-13T00:00+01:00;2022-01-14T00:00+01:00;2022-01-13;2;9;100,0;24;24;0;9;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-13T00:00+01:00;2022-01-14T00:00+01:00;2022-01-13;Totalt i retning Nova;9;100,0;24;24;0;9;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-13T00:00+01:00;2022-01-14T00:00+01:00;2022-01-13;Totalt i retning Pyramiden;18;100,0;24;24;0;18;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-13T00:00+01:00;2022-01-14T00:00+01:00;2022-01-13;Totalt;27;100,0;24;24;0;27;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-14T00:00+01:00;2022-01-15T00:00+01:00;2022-01-14;1;26;100,0;24;24;0;26;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-14T00:00+01:00;2022-01-15T00:00+01:00;2022-01-14;2;19;100,0;24;24;0;19;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-14T00:00+01:00;2022-01-15T00:00+01:00;2022-01-14;Totalt i retning Nova;19;100,0;24;24;0;19;0,00;-;-;-;-;-;-;-;-
03813B1109947;Solstrandvegen Sykkel;KV62920 S5D1 m230;2022-01-14T00:00+01:00;2022-01-15T00:00+01:00;2022-01-14;Totalt i retning Pyramiden;26;100,0;24;24;0;26;0,00;-;-;-;-;-;-;-;-
